name,n.obs,total.acc
Arctic Shelf Area,185,75.0392464678179
Arctic Shelf Area,185,75.3532182103611
Arctic Shelf Area,209,75.3532182103611
Arctic Shelf Area,209,75.3532182103611
Lough Hyne,3133,76.9230769230769
Lough Hyne,1855,76.9230769230769
Lough Hyne,1855,76.9230769230769
Lough Hyne,489,76.9230769230769
Lough Hyne,489,76.9230769230769
Lough Hyne,2000,76.9230769230769
Lough Hyne,2000,76.9230769230769
Lough Hyne,1078,76.9230769230769
Lough Hyne,1078,76.9230769230769
Lough Hyne,822,76.9230769230769
Lough Hyne,822,76.9230769230769
Lough Hyne,1661,76.9230769230769
Lough Hyne,1661,76.9230769230769
Lough Hyne,947,76.9230769230769
Lough Hyne,947,76.9230769230769
Lough Hyne,1221,76.9230769230769
Lough Hyne,1221,76.9230769230769
Lough Hyne,2515,76.9230769230769
Lough Hyne,2515,76.9230769230769
Lough Hyne,2528,76.9230769230769
Lough Hyne,2528,76.9230769230769
Lough Hyne,1147,76.9230769230769
Lough Hyne,1147,76.9230769230769
Lough Hyne,1524,76.9230769230769
Lough Hyne,1524,76.9230769230769
Lough Hyne,1131,76.9230769230769
Lough Hyne,1131,76.9230769230769
Lough Hyne,995,76.9230769230769
Lough Hyne,995,76.9230769230769
Lough Hyne,418,76.9230769230769
Lough Hyne,418,76.9230769230769
Lough Hyne,134,76.9230769230769
Lough Hyne,134,76.9230769230769
Lough Hyne,2752,76.9230769230769
Lough Hyne,2752,76.9230769230769
Lough Hyne,2035,76.9230769230769
Lough Hyne,2035,76.9230769230769
Lough Hyne,1933,76.9230769230769
Lough Hyne,1933,76.9230769230769
Lough Hyne,2436,76.9230769230769
Lough Hyne,2436,76.9230769230769
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",263,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",168,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",168,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",101,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",101,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",202,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",202,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",167,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",167,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",47,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",47,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",204,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",204,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",15,74.5247148288973
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",15,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",59,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",59,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",125,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",125,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",115,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",115,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",70,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",70,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",139,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",139,86.3117870722433
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",80,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",80,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",24,79.0874524714829
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",24,79.0874524714829
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",39,85.5513307984791
"Ythan Estuary, tidal Estuary of River Ythan, Forvie Nature Reserve",39,85.5513307984791
