"","site","esd","ops","represented"
"35515","Intertidal rocky pools",5944.71932086806,2673.00923514395,1
"35516","Intertidal rocky pools",11272.5165178683,2673.00923514395,1
"35517","Intertidal rocky pools",11565.4392624423,2673.00923514395,1
"35518","Intertidal rocky pools",5560.08326889128,2673.00923514395,1
"35519","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35520","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35521","Intertidal rocky pools",5944.71932086806,2673.00923514395,1
"35522","Intertidal rocky pools",11272.5165178683,2673.00923514395,1
"35523","Intertidal rocky pools",11565.4392624423,2673.00923514395,1
"35524","Intertidal rocky pools",5560.08326889128,2673.00923514395,1
"35525","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35526","Intertidal rocky pools",5560.08326889128,5560.08326889128,1
"35527","Intertidal rocky pools",11272.5165178683,2673.00923514395,1
"35528","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35529","Intertidal rocky pools",11565.4392624423,2673.00923514395,1
"35530","Intertidal rocky pools",5944.71932086806,2673.00923514395,1
"35531","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35532","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35533","Intertidal rocky pools",5560.08326889128,1240.7009817988,1
"35534","Intertidal rocky pools",5944.71932086806,1240.7009817988,1
"35535","Intertidal rocky pools",10406.0153720115,2673.00923514395,1
"35536","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35537","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35538","Intertidal rocky pools",1240.7009817988,1240.7009817988,1
"35539","Intertidal rocky pools",2673.00923514395,1240.7009817988,1
"35540","Intertidal rocky pools",1240.7009817988,1240.7009817988,1
"35541","Intertidal rocky pools",10406.0153720115,2673.00923514395,1
"35542","Intertidal rocky pools",10406.0153720115,10406.0153720115,1
"35543","Intertidal rocky pools",10406.0153720115,2673.00923514395,1
"35544","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35545","Intertidal rocky pools",10406.0153720115,2673.00923514395,1
"35546","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35547","Intertidal rocky pools",10406.0153720115,5113.28271774544,1
"35548","Intertidal rocky pools",10406.0153720115,2673.00923514395,1
"35549","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
"35550","Intertidal rocky pools",10406.0153720115,2673.00923514395,1
"35551","Intertidal rocky pools",2673.00923514395,2673.00923514395,1
