group,a,s,a.sd,s.sd,stiffness
Jellyfish,0.386650553216226,0.985578839542085,0.0860728633278459,0.810785611415659,0.989949493661167
Invertebrate,0.960491248567444,0.771464674892745,0.0515980596352485,0.502475979784,0.3
Fish,1.04673238316332,-0.0951420500868368,0.0975948174878019,0.98012421815888,0.608276253029822
Plankton,0.856029488627061,0.64267080139987,0.109577704405976,0.460771579293948,0.519615242270663
Fish,0.515214139007531,-1.37966634391461,0.399571516549396,2.93964378083065,0.608276253029822
Fish,0.462598475809275,1.41036229111297,0.100669254311558,1.05373719643172,0.608276253029822
Mammals,-0.399537037037037,-1.53200944185565,0.3268554174997,3.36532691671637,2.05426385841741
Mammals,0.120825476379516,0.761736810745855,0.174408200113366,2.00054433647152,2.05426385841741
Plankton,0.853381114861753,-0.830197869163174,0.213219128687839,0.770252878073472,0.519615242270663
Invertebrate,0.717949036346549,-2.51547458926007,0.174570018995036,1.12724636161518,0.3
Plankton,1.07349363265104,-0.000341719468660517,0.274653582460496,0.745745278884218,0.519615242270663
Invertebrate,0.212226232592589,-3.30962207974882,0.151584639238437,1.01904794854811,0.3
Jellyfish,0.0730841747897056,-3.01190728078861,0.610030507433617,3.8564417799072,0.989949493661167
Mammals,-0.701298701298703,-1.23755933056902,3.44825371777397,27.4838915125056,2.05426385841741
Mammals,-2.25961538461541,1.9671678169685,1.98186582789131,16.4558074084898,2.05426385841741
