Taxon,Trophic level,Mass (log10 kg),Prey mass (log10 kg),Predator Prey ratio (log10),Diet,Niche,Environment,Predator Diet Source,Predator Body Mass Source,Prey mass Source,Niche Source
Leptonychotes_weddellii,4.0,2.1,-0.9,2.9,Carnivore,Fish,Marine,Pauly et al. 1998,Plötz et al. 2009,"Casaux et al. 2008, O'Droscoll et al. 2011, Kock et al. 2008, Artigues et al. 2003",Pauly et al. 1998
Lissodelphis_borealis,4.4,2.6,-1.3,3.9,Carnivore,Fish,Marine,Pauly et al. 1998,Noren 2000,"Jefferson et al. 1993, Clarke et al. 1994, Watanabe et al. 1999",Pauly et al. 1998
Lobodon_carcinophaga,3.3,2.1,-1.8,3.9,Carnivore,Zooplankton,Marine,Pauly et al. 1998,"Bornemann & Plötz 2005, Southwell et al. 2003","Artigues et al. 2003, Huckstadt et al. 2012, Mizdalski 1988",Pauly et al. 1998
Lontra_canadensis,3.5,2.4,-1.0,3.4,Carnivore,Benthic Invertebrate,Marine,Pauly et al. 1998,Blundell et al. 2000,"Reid et al. 1994, Noguchi et al. 1991, Palace et al. 2001",Pauly et al. 1998
Megaptera_novaeangliae,3.6,1.0,-3.3,4.3,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Dalla Rosa et al. 2008,"Friedlaender  et al. 2008, Mizdalski 1988",Pauly et al. 1998
Mesoplodon_carlhubbsi,4.4,4.5,-0.7,5.3,Carnivore,Squid,Marine,Pauly et al. 1998,Jefferson 2008,"Clarke et al. 1998, Clarke et al. 1994, MacLeod et al. 2003",Pauly et al. 1998
Mesoplodon_densirostris,4.4,3.2,-0.8,4.0,Carnivore,Squid-fish,Marine,Pauly et al. 1998,Jefferson 2008,"Clarke et al. 1994, MacLeod et al. 2003,  Belman et al. 1976, Ruiz-Capilla et al. 2001",Pauly et al. 1998
Mesoplodon_layardii,4.4,3.0,-0.8,3.8,Carnivore,Squid,Marine,Pauly et al. 1998,Jefferson 2008,MacLeod et al. 2003,Pauly et al. 1998
Mesoplodon_mirus,4.5,3.1,-1.8,4.9,Carnivore,Squid,Marine,Pauly et al. 1998,Reidenberg & Laitman 2009,"McLeod et al. 2003, Clarke et al. 1994",Pauly et al. 1998
Mirounga_angustirostris,4.3,3.2,-0.8,3.9,Carnivore,Squid,Marine,Pauly et al. 1998,LeBoeuf et al. 2000,"Clarke et al. 1994, Eder et al. 2005, Seibel et al. 1997, Glaser 2010, Antonelis et al. 1987, Condit et al. 1984",Pauly et al. 1998
