Taxon,Trophic level,Mass (log10 kg),Prey mass (log10 kg),Predator Prey ratio (log10),Diet,Niche,Environment,Predator Diet Source,Predator Body Mass Source,Prey mass Source,Niche Source
Equus_caballus,2.0,2.6,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Equus_zebra,2.0,2.5,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Grobler, 1983"
Gazella_gazella,2.0,1.3,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Giraffa_camelopardalis,2.0,3.1,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Glaucomys_sabrinus,2.0,-0.8,-,-,Herbivore,Mychophagus,Terrestrial,-,Kelt & van Vuren 2001,-,Maser et al. 1985
Heliophobius_argenteocinereus,2.0,-0.8,-,-,Herbivore,Geophyte,Terrestrial,-,Kelt & van Vuren 2001,-,Le Comber et al. 2002
Hyemoschus_aquaticus,2.0,1.0,-,-,Herbivore,Frugivore,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Hystrix_indica,2.0,1.2,-,-,Herbivore,Geophyte,Terrestrial,-,Kelt & van Vuren 2001,-,Alkon et al. 1988
Lepus_alleni,2.0,0.6,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Lepus_americanus,2.0,0.6,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Lepus_californicus,2.0,0.4,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Lepus_capensis,2.0,0.6,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Lepus_timidus,2.0,0.5,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Loxodonta_africana,2.0,3.6,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,White et al. 1993
Macropus_antilopinus,2.0,1.4,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Macropus_dorsalis,2.0,1.1,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Macropus_fuliginosus,2.0,1.3,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Macropus_giganteus,2.0,1.0,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Macropus_robustus,2.0,1.3,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Macropus_rufogriseus,2.0,1.2,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Macropus_rufus,2.0,1.7,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Madoqua_guentheri,2.0,0.7,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Microtus_californicus,2.0,-1.2,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Microtus_montanus,2.0,-1.3,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Microtus_ochrogaster,2.0,-1.5,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Microtus_pennsylvanicus,2.0,-1.3,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Microtus_pinetorum,2.0,-1.5,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Microtus_richardsoni,2.0,-1.1,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Muntiacus_reevesi,2.0,1.1,-,-,Herbivore,Frugivore,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Neotoma_cinerea,2.0,-0.4,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Dial. 1988; Dearing et al. 2000
Neotoma_fuscipes,2.0,-0.5,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Dial. 1988; Dearing et al. 2000
Neotoma_lepida,2.0,-0.9,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Dial. 1988; Dearing et al. 2000
Neotoma_micropus,2.0,-0.6,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Dial. 1988; Dearing et al. 2000
Ochotona_collaris,2.0,-0.9,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Ochotona_princeps,2.0,-0.7,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Odocoileus_hemionus,2.0,1.7,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Odocoileus_virginianus,2.0,1.9,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Okapia_johnstoni,2.0,2.4,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Onychogalea_fraenata,2.0,0.7,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Oryctolagus_cuniculus,2.0,0.2,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Ovis_ammon,2.0,2.1,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Ovis_canadensis,2.0,2.0,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Ozotoceros_bezoarticus,2.0,1.5,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Pecari_tajacu,2.0,1.4,-,-,Herbivore,Frugivore,Terrestrial,-,Kelt & van Vuren 2001,-,Altrichter et al. 2001
Phacochoerus__aethiopicus,2.0,1.9,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Botha et al. 2005
Potos_flavus,2.0,0.5,-,-,Herbivore,Frugivore,Terrestrial,-,Kelt & van Vuren 2001,-,"Kays et al. 1999, Julien-Laferri et al. 1999"
Pudu_puda,2.0,0.9,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Rangifer_tarandus,2.0,2.0,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Raphicerus_campestris,2.0,1.1,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Rupicapra_rupicapra,2.0,1.5,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Sciurus_aberti,2.0,-0.1,-,-,Herbivore,Granivore,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Sciurus_carolinensis,2.0,-0.3,-,-,Herbivore,Granivore,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Sciurus_lis,2.0,-0.6,-,-,Herbivore,Granivore,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Sciurus_niger,2.0,0.0,-,-,Herbivore,Granivore,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Sciurus_vulgaris,2.0,-0.5,-,-,Herbivore,Granivore,Terrestrial,-,Kelt & van Vuren 2001,-,Freeman et al. 2008
Setonix_brachyurus,2.0,0.5,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Hayward 2005
Spermophilus_beecheyi,2.0,-0.1,-,-,Herbivore,Legume,Terrestrial,-,Kelt & van Vuren 2001,-,Schitoskey Jr. et al. 1978
Sylvilagus_aquaticus,2.0,0.3,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Sylvilagus_audubonii,2.0,-0.1,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Sylvilagus_bachmani,2.0,-0.2,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Sylvilagus_floridanus,2.0,0.1,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Sylvilagus_palustris,2.0,0.1,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Sylvilagus_transitionalis,2.0,0.0,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Swihart 1986
Syncerus_caffer,2.0,2.8,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Tayassu_pecari,2.0,1.3,-,-,Herbivore,Frugivore,Terrestrial,-,Kelt & van Vuren 2001,-,Keuroghlian et al. 2008
Thylogale_thetis,2.0,0.7,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Tragelaphus_oryx,2.0,2.8,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Tragelaphus_scriptus,2.0,1.7,-,-,Herbivore,Browser-grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Tragelaphus_strepsiceros,2.0,2.3,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Trichosurus_vulpecula,2.0,0.5,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,How et al. 2000
Vombatus_ursinus,2.0,1.4,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Rishworth et al. 1995
Wallabia_bicolor,2.0,1.2,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
