#,Species reported name,Species current name,Trophic strategy,Feeding mode,Theca,Sulcus morphology,"Equivalent spherical diameter (ESD, um)","Standard deviation of equivalent spherical diameter (ESD, um)","Optimal prey, specie","Optimal prey, taxa","Optimal prey size, (OPS, um)","Standard deviation, optimal prey size (um)",Minimum prey size (um),Maximum prey size (um),Median prey size (um),"Specialization factor, s",Primary source,Secondary source
43,Stoeckeria algicida,,H,TF,1,,13.9,,Heterosigma akashiwo,Raphidophyta,11.5,1.9,11.5,11.5,11.5,0,jeong2005,jeong2010
44,Oxyrrhis marina,,H,DE,0,no-sulcus,15.6,,Heterosigma akashiwo,Raphidophyta,11.5,1.9,,,,0,jeong2003,jeong2010
45,Gyrodinium dominans,,H,DE,0,overlaping,20,,Skeletonema costatum,Diatom,5.4,,,,,,nakamura1995,jeong2010
46,Protoperidinium vorax,,H,PF,1,straight,21,,Skeletonema pseudocostatum,Diatom,4,,,,,,siano2005,jeong2010
47,Oblea rotundata,,H,PF,1,,21.6,,Ditylum brightwelli,Diatom,33,,,,,1,strom1993,jeong2010
48,Protoperidinium steinii,,H,PF,1,,25.8,,Heterocapsa triquetra,Dinophyta,15,,11,37,20.2,1,naustvoll2000,jeong2010
49,Protoperidinium huberi,,H,PF,1,,26.5,,Ditylum brightwelli,Diatom,26.5,,,,,1,buskey1994,jeong2010
50,Diplopsalis lenticula,,H,PF,1,,31,,Ditylum brightwelli,Diatom,35.2,,,,,1,naustvoll1998,jeong2010
51,Gyrodinium spirale,,H,DE,0,overlaping,31.8,,Prorocentrum minimum,Dinophyta,12.1,,,,,0,kim2004,jeong2010
52,Protoperidinium excentricum,,H,PF,1,straight,35.8,,Ditylum brightwelli,Diatom,35.2,,12.1,2.5,5.5,1,menden-deuer2005,jeong2010
53,Protoperidinium pellucidum,,H,PF,1,straight,36.1,,Ditylum brightwelli,Diatom,26.5,,,,,1,buskey1997,jeong2010
54,Polykrikos kofoidii,,H,DE,0,overlaping,43.5,,Gymnodinium catenatum,Dinophyta,34,,,,,0,jeong2001,jeong2010
55,Polykrikos kofoidii,,H,DE,0,overlaping,43.5,,Lingolidium polyedrum,Dinophyta,37.9,,,,,0,jeong2001,jeong2010
56,Protoperidinium spiniferum,,H,PF,1,,45,,Leptocylindrum danicus,Diatom,19.7,,,,,1,jacobson1986,jeong2010
57,Protoperidinium conicum,,H,PF,1,,45.7,,Ditylum brightwelli,Diatom,35.2,,,,,1,menden-deuer2005,jeong2010
58,Protoperidinium pallidum,,H,PF,1,,46.6,,Ditylum brightwelli,Diatom,35.2,,10,212,46.0,1,naustvoll2000,jeong2010
59,Zygabikodinium lenticulatum,,H,PF,1,,50,,Ditylum brightwelli,Diatom,35.2,,6,212,35.7,1,naustvoll2000,jeong2010
60,Protoperidinium divergens,,H,PF,1,,61,,Lingolidium polyedrum,Dinophyta,38.2,,,,,1,jeong1994,jeong2010
61,Protoperidinium crassipes,,H,PF,1,,73,,Lingolidium polyedrum,Dinophyta,36.6,,,,,1,jeong1994,jeong2010
