"","site","esd","ops","represented"
"1","Cheseapeake Bay",424.667067731039,179.336809937898,0
"2","Cheseapeake Bay",563.92626615601,179.336809937898,1
"3","Cheseapeake Bay",563.92626615601,29.3218771352609,1
"4","Cheseapeake Bay",563.92626615601,179.336809937898,1
"5","Cheseapeake Bay",563.92626615601,29.3218771352609,1
"6","Cheseapeake Bay",1488.45709361679,179.336809937898,1
"7","Cheseapeake Bay",1488.45709361679,29.3218771352609,0
"8","Cheseapeake Bay",916.252524894977,179.336809937898,1
"9","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"10","Cheseapeake Bay",916.252524894977,179.336809937898,1
"11","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"12","Cheseapeake Bay",916.252524894977,179.336809937898,1
"13","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"14","Cheseapeake Bay",916.252524894977,179.336809937898,1
"15","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"16","Cheseapeake Bay",296.875242429243,179.336809937898,0
"17","Cheseapeake Bay",296.875242429243,29.3218771352609,1
"18","Cheseapeake Bay",296.875242429243,179.336809937898,0
"19","Cheseapeake Bay",296.875242429243,29.3218771352609,1
"20","Cheseapeake Bay",424.667067731039,179.336809937898,0
"21","Cheseapeake Bay",916.252524894977,179.336809937898,1
"22","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"23","Cheseapeake Bay",916.252524894977,179.336809937898,1
"24","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"25","Cheseapeake Bay",916.252524894977,179.336809937898,1
"26","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"27","Cheseapeake Bay",916.252524894977,179.336809937898,1
"28","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"29","Cheseapeake Bay",424.667067731039,179.336809937898,0
"30","Cheseapeake Bay",424.667067731039,29.3218771352609,1
"31","Cheseapeake Bay",424.667067731039,29.3218771352609,1
"32","Cheseapeake Bay",689.84497523783,179.336809937898,1
"33","Cheseapeake Bay",689.84497523783,29.3218771352609,1
"34","Cheseapeake Bay",916.252524894977,179.336809937898,1
"35","Cheseapeake Bay",916.252524894977,29.3218771352609,0
"36","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"37","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"38","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"39","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"40","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"41","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"42","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"43","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"44","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"45","Cheseapeake Bay",6099.28903331609,713.812643742727,1
"46","Cheseapeake Bay",6099.28903331609,713.812643742727,1
"47","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"48","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"49","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"50","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"51","Cheseapeake Bay",6099.28903331609,563.92626615601,1
"52","Cheseapeake Bay",6099.28903331609,563.92626615601,1
"53","Cheseapeake Bay",6099.28903331609,563.92626615601,1
"54","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"55","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"56","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"57","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"58","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"59","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"60","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"61","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"62","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"63","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"64","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"65","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"66","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"67","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"68","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"69","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"70","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"71","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"72","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"73","Cheseapeake Bay",6099.28903331609,424.667067731039,1
"74","Cheseapeake Bay",6099.28903331609,2826.79517659093,0
"75","Cheseapeake Bay",6099.28903331609,2826.79517659093,0
"76","Cheseapeake Bay",6099.28903331609,3577.53556111915,0
"77","Cheseapeake Bay",6099.28903331609,1310.11510338598,1
"78","Cheseapeake Bay",6099.28903331609,4041.92697217237,0
"79","Cheseapeake Bay",6099.28903331609,3457.41453252607,0
"80","Cheseapeake Bay",6099.28903331609,1310.11510338598,1
