"X","name","specie","esd","opt","type","group","source","kingdom","phylum","class","order","family","genus","tag"
128,"Cyclosalpa affinis","Cyclosalpa affinis",13700,11.747340124471,"Salp","Jellyfish","Fuchs 2010","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Cyclosalpa","Jellyfish - Salp"
129,"Cyclosalpa bakeri","Cyclosalpa bakeri",31622.7766016838,22.360679774998,"Salp","Jellyfish","Fuchs 2010","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Cyclosalpa","Jellyfish - Salp"
130,"Cyllopus lucasii","Cyllopus lucasii",8486.27534357644,1536.68549839116,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyllopodidae","Cyllopus","Invertebrate - swimming predacious"
131,"Cynoglossus sp.","Cynoglossus sp.",1133.18726137329,109.941569873093,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus","Fish - predacious"
132,"Cynoscion regalis","Cynoscion regalis",72218.884732413,13899.7139250306,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Cynoscion","Fish - piscivorous"
133,"Cystophora cristata","Cystophora cristata",457439.636138768,6218.23492826382,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Mammals - Fish"
134,"Daphnia cuculata","Daphnia cuculata",284,7,"sessile herbivorous","Invertebrate","Hansen 1994","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia","Invertebrate - sessile herbivorous"
135,"Daphnia cucullata","Daphnia cucullata",678.574977434329,19.3649167310371,"sessile herbivorous","Invertebrate","Fuchs 2010","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia","Invertebrate - sessile herbivorous"
136,"Daphnia cucullata","Daphnia cucullata",810,11.1803398874989,"sessile herbivorous","Invertebrate","Fuchs 2010","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia","Invertebrate - sessile herbivorous"
137,"Daphnia longispina","Daphnia longispina",297,6,"sessile herbivorous","Invertebrate","Hansen 1994","Animalia","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","Daphnia","Invertebrate - sessile herbivorous"
138,"Daphnia longispina adults","Daphnia longispina",2400,3.87298334620742,"sessile herbivorous","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
139,"Daphnia longispina juveniles","Daphnia longispina",700,2.82842712474619,"sessile herbivorous","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - sessile herbivorous"
140,"Delphinapterus leucas","Delphinapterus leucas",912712.06736076,6218.23492826382,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Monodontidae","Delphinapterus","Mammals - Fish"
141,"Delphinus delphis","Delphinus delphis",3116499.96174102,84527.9738971949,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus","Mammals - Fish"
142,"Desmonema glaciale","Desmonema glaciale",53460.184702879,5611.09605663569,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Desmonema","Jellyfish - tentacled"
143,"Diacyclops thomasi","Diacyclops thomasi",510.352452090453,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
144,"Diaphus garmani","Diaphus garmani",1926.11571998889,137.471295456949,"planktivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Diaphus","Fish - planktivorous"
145,"Diaptomus graciloides","Diaptomus graciloides",325,31,"swimming predacious","Invertebrate","Hansen 1994","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
146,"Diaptomus sicilis","Diaptomus sicilis",398,14.1,"swimming predacious","Invertebrate","Hansen 1994","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
147,"Dicata odhneri","Dicata odhneri",2557.35215102886,5346.65323460896,"swimming predacious","Invertebrate","Brose 2019","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae","Dicata","Invertebrate - swimming predacious"
148,"Dicentrarchus labrax","Dicentrarchus labrax",7897.29982648137,646.556376516353,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus","Fish - predacious"
149,"Dimophyes arctica","Dimophyes arctica",6592.20765050887,1588.81582727107,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Dimophyes","Jellyfish - tentacled"
150,"Dinophysis acuminata","Dinophysis acuminata",35,22,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Dinophysiales","Dinophysaceae","Dinophysis","Plankton - Dinoflagellates"
151,"Diosaccus tenuicornis","Diosaccus tenuicornis",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Harpacticoida","Miraciidae","Diosaccus","Invertebrate - swimming predacious"
152,"Diphyes antarctica","Diphyes antarctica",6592.20765050887,1588.81582727107,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Diphyes","Jellyfish - tentacled"
153,"Diphyes dispar","Diphyes dispar",900,600,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Diphyes","Jellyfish - tentacled"
154,"Diplopsalis lenticula","Diplopsalis lenticula",31,35.2,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Peridiniales","Protoperidiniaceae","Diplopsalis","Plankton - Dinoflagellates"
155,"Dipulmaris antarctica","Dipulmaris antarctica",16136.4508502764,3190.19159401085,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Diplulmaris","Jellyfish - tentacled"
156,"Dolioletta gegenbauri","Dolioletta gegenbauri",10000,14.282856857086,"Salp","Jellyfish","Fuchs 2010","Animalia","Chordata","Thaliacea","Doliolida","Doliolidae","Dolioletta","Jellyfish - Salp"
157,"Doliolum denticulatum","Doliolum denticulatum",1480,8.660254037844,"Salp","Jellyfish","Fuchs 2010","Animalia","Chordata","Thaliacea","Doliolida","Doliolidae","Doliolum","Jellyfish - Salp"
158,"Dytiscus marginalis","Dytiscus marginalis",21242.8097542217,7816.96840257118,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
159,"Ectinosoma compressum","Ectinosoma compressum",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Harpacticoida","Ectinosomatidae","Ectinosoma","Invertebrate - swimming predacious"
160,"Ectocyclops phaleratus","Ectocyclops phaleratus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
161,"Enhydra lutris","Enhydra lutris",533335.459444651,72499.2965278222,"Benthic Invertebrate","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Enhydra","Mammals - Benthic Invertebrate"
162,"Epimeria georgiana","Epimeria georgiana",15366.8549839116,1637.73289129262,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Epimeriidae","Epimeria","Invertebrate - swimming predacious"
163,"Epimeria macrodonta","Epimeria macrodonta",13540.9222154214,12807.5095273809,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Epimeriidae","Epimeria","Invertebrate - swimming predacious"
164,"Epimeria robusta","Epimeria robusta",15366.8549839116,2990.26587343699,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Epimeriidae","Epimeria","Invertebrate - swimming predacious"
165,"Epimeria rubrieques","Epimeria rubrieques",26730.0923514395,3190.19159401085,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Epimeriidae","Epimeria","Invertebrate - swimming predacious"
166,"Epimeria similis","Epimeria similis",19189.678582679,16377.3289129262,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Epimeriidae","Epimeria","Invertebrate - swimming predacious"
167,"Epimeriella walkeri","Epimeriella walkeri",11171.4122687261,13184.4153010177,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Epimeriidae","Epimeriella","Invertebrate - swimming predacious"
168,"Epishura lacustris","Epishura lacustris",615.347446553276,112.524407558469,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Temoridae","Epischura","Invertebrate - swimming predacious"
169,"Ergasilus versicolor","Ergasilus versicolor",689.84497523783,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
170,"Erignathus barbatus","Erignathus barbatus",363357.218667025,7249.92965278222,"Benthic Invertebrate","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Erignathus","Mammals - Benthic Invertebrate"
171,"Eschrichtius robustus","Eschrichtius robustus",845279.738971949,1240.7009817988,"Benthic Invertebrate","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Eschrichtiidae","Eschrichtius","Mammals - Benthic Invertebrate"
172,"Eubalaena glacialis","Eubalaena glacialis",3116499.96174102,533.335459444652,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Eubalaena","Mammals - Zooplankton"
173,"Eucalanus pileatus","Eucalanus pileatus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Eucalanidae","Eucalanus","Invertebrate - swimming predacious"
174,"Euchaetomera antarcticus","Euchaetomera antarcticus",5433.67369666554,1637.73289129262,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
175,"Eucopia australis","Eucopia australis",20782.5936032572,1637.73289129262,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Lophogastrida","Eucopiidae","Eucopia","Invertebrate - swimming predacious"
176,"Eucyclops agilis","Eucyclops agilis",267.300923514395,267.300923514395,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
177,"Eumetopias jubatus","Eumetopias jubatus",4236434.14016534,72499.2965278222,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Eumetopias","Mammals - Fish"
178,"Euphausia frigida","Euphausia frigida",6873.0594379851,2203.24673341026,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Invertebrate - swimming predacious"
179,"Euphausia superba","Euphausia superba",21900.533228654,2203.24673341026,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Invertebrate - swimming predacious"
180,"Eurytemora affinis","Eurytemora affinis",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Temoridae","Eurytemora","Invertebrate - swimming predacious"
181,"Eurytemora americana","Eurytemora americana",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Temoridae","Eurytemora","Invertebrate - swimming predacious"
182,"Eurytemora herdmani","Eurytemora herdmani",381,16,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Temoridae","Eurytemora","Invertebrate - swimming predacious"
183,"Eurythenes gryllus","Eurythenes gryllus",45707.8149734083,13184.4153010177,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Eurytheneidae","Eurythenes","Invertebrate - swimming predacious"
184,"Eusirus perdentatus","Eusirus perdentatus",33106.8854540285,11171.4122687261,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Eusirus","Invertebrate - swimming predacious"
185,"Euterpina acutifrons","Euterpina acutifrons",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Harpacticoida","Tachidiidae","Euterpina","Invertebrate - swimming predacious"
186,"Evadne nordmanni","Evadne nordmanni",689.303271427026,14.4913767461894,"sessile herbivorous","Invertebrate","Fuchs 2010","Animalia","Arthropoda","Branchiopoda","Onychopoda","Podonidae","Evadne","Invertebrate - sessile herbivorous"
187,"Evadne nordmanni","Evadne nordmanni",563.92626615601,616.480222073676,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Branchiopoda","Onychopoda","Podonidae","Evadne","Invertebrate - swimming predacious"
188,"Farranula gracilis","Farranula gracilis",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Farranula","Invertebrate - swimming predacious"
189,"Favella ehrenbergii","Favella ehrenbergii",130,16.062378404209,"Ciliates","Plankton","Fuchs 2010","Chromista","Ciliophora","Oligotrichea","Choreotrichida","Ptychocylididae","Favella","Plankton - Ciliates"
190,"Favella taraikansis","Favella taraikansis",79,14.6628782986152,"Ciliates","Plankton","Fuchs 2010","Chromista","Ciliophora","Oligotrichea","Choreotrichida","Ptychocylididae","Favella","Plankton - Ciliates"
191,"Feresa attenuata","Feresa attenuata",1686554.80877746,78282.939676974,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Feresa","Mammals - Fish"
192,"Forskalia spp","Forskalia spp",2500,748.331477354788,"tentacled","Jellyfish","Fuchs 2010","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Forskalia","Jellyfish - tentacled"
193,"Forskalia spp","Forskalia spp",2500,748.331477354788,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","Forskalia","Jellyfish - tentacled"
194,"Fragilidium cf. mexicanum","Fragilidium cf.",54.5,37.9,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrophacaceae","Fragilidium","Plankton - Dinoflagellates"
195,"Fragilidium subglobosum","Fragilidium subglobosum",45,59.5,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Pyrophacaceae","Fragilidium","Plankton - Dinoflagellates"
196,"Gadus morhua","Gadus morhua",152481.274781753,26730.0923514395,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Fish - predacious"
197,"Gammarellus angulosus","Gammarellus angulosus",2826.77987998711,616.480222073676,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammarellidae","Gammarellus","Invertebrate - swimming predacious"
198,"Gammaropsis maculata","Gammaropsis maculata",2128.29408362841,616.480222073676,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Gammaropsis","Invertebrate - swimming predacious"
199,"Gammarus pulex","Gammarus pulex",1915.8424598454,650.947424817851,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
200,"Gasterosteus aculeatus","Gasterosteus aculeatus",17130.8503205194,646.083936803707,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Gasterosteus","Fish - predacious"
201,"Gilbertidia sigalutes","Gilbertidia sigalutes",7773.70113007769,382.766511692596,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Psychrolutidae","Gilbertidia","Fish - predacious"
202,"Gitana sarsi","Gitana sarsi",937.527453840302,616.480222073676,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Gitana","Invertebrate - swimming predacious"
203,"Globicephala melas","Globicephala melas",671429.562905789,72499.2965278222,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala","Mammals - Fish"
204,"Gonatus antarcticus","Gonatus antarcticus",117527.663190338,37221.029453964,"swimming predacious","Invertebrate","Brose 2019","Animalia","Mollusca","Cephalopoda","Oegopsida","Gonatidae","Gonatus","Invertebrate - swimming predacious"
205,"Gonyaulax polygrama","Gonyaulax polygrama",32.5,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Plankton - Dinoflagellates"
206,"Gymnodinium catenatum","Gymnodinium catenatum",33.9,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Plankton - Dinoflagellates"
207,"Gymnodinium gracilentum","Gymnodinium gracilentum",9.1,8.5,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Plankton - Dinoflagellates"
208,"Gymnodinium smaydae","Gymnodinium smaydae",10.5,9.5,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Plankton - Dinoflagellates"
209,"Gymnodinium sp.","Gymnodinium sp.",6,8,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Plankton - Dinoflagellates"
210,"Gyrodinium auroleum","Gyrodinium auroleum",19.4,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
211,"Gyrodinium dominans","Gyrodinium dominans",20,12.1,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
212,"Gyrodinium dominans","Gyrodinium dominans",20,5.4,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
213,"Gyrodinium dominans","Gyrodinium dominans",25,10.9,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
214,"Gyrodinium fusiforme","Gyrodinium fusiforme",16.1,10.9,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
215,"Gyrodinium galatheanum","Gyrodinium galatheanum",11,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
216,"Gyrodinium moestrupii","Gyrodinium moestrupii",18.4,21.9,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
217,"Gyrodinium spirale","Gyrodinium spirale",31.8,12.1,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
218,"Gyrodinium spirale","Gyrodinium spirale",28,32,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Plankton - Dinoflagellates"
219,"Halichoerus grypus","Halichoerus grypus",1339678.10402195,267300.923514395,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Mammals - Fish"
220,"Halicyclops magniceps","Halicyclops magniceps",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Cyclopoida","Halicyclopidae","Halicyclops","Invertebrate - swimming predacious"
221,"Halteria cf. Grandinella","Halteria cf.",19.3,1.4543039572249,"Ciliates","Plankton","Fuchs 2010","Chromista","Ciliophora","Oligotrichea","Halteriida","Halteriidae","Halteria","Plankton - Ciliates"
222,"Harpacticus chelifer","Harpacticus chelifer",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Harpacticoida","Harpacticidae","Harpacticus","Invertebrate - swimming predacious"
223,"Harpacticus gracilis","Harpacticus gracilis",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Harpacticoida","Harpacticidae","Harpacticus","Invertebrate - swimming predacious"
224,"Hemitripterus americanus","Hemitripterus americanus",98085.6355656716,32076.1108217274,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Hemitripteridae","Hemitripterus","Fish - piscivorous"
225,"Heterocapsa steinii","Heterocapsa steinii",25,10.9,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Plankton - Dinoflagellates"
226,"Heterocapsa triquetra","Heterocapsa triquetra",15,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Plankton - Dinoflagellates"
227,"Heteromysis formosa","Heteromysis formosa",1820.51150767554,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Heteromysis","Invertebrate - swimming predacious"
228,"Heterophoxus videns","Heterophoxus videns",3897.51405962576,16377.3289129262,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Heterophoxus","Invertebrate - swimming predacious"
229,"Hexagrammos decagrammus","Hexagrammos decagrammus",12589.1862131223,417.985994028805,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Hexagrammidae","Hexagrammos","Fish - predacious"
230,"Hippopodius hippopus","Hippopodius hippopus",3300,1122.49721603218,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Hippopodiidae","Hippopodius","Jellyfish - tentacled"
231,"Hydroporus erythrocephalus","Hydroporus erythrocephalus",4490.14025006013,4383.42239767513,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
232,"Hydrurga leptonyx","Hydrurga leptonyx",533335.459444651,457439.636138768,"Mammal","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Hydrurga","Mammals - Mammal"
233,"Hygophum benoiti","Hygophum benoiti",1988.87856184938,118.511703180096,"planktivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Hygophum","Fish - planktivorous"
234,"Hyperia galba","Hyperia galba",2418.00934861342,616.480222073676,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperia","Invertebrate - swimming predacious"
235,"Hyperia macrocephala","Hyperia macrocephala",9291.45132338793,6442.33253015115,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperia","Invertebrate - swimming predacious"
236,"Hyperiella dilatata","Hyperiella dilatata",2216.28399975228,2190.0533228654,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperiella","Invertebrate - swimming predacious"
237,"Hyperoodon ampullatus","Hyperoodon ampullatus",845279.738971949,57588.2382296972,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Hyperoodon","Mammals - Fish"
238,"Illybius fuliginosus","Illybius fuliginosus",10747.4370846897,7332.24593664384,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
239,"Iphimedia minuta","Iphimedia minuta",1488.46772539981,15464.899488884,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Iphimediidae","Iphimedia","Invertebrate - swimming predacious"
240,"Iphimedia nexa","Iphimedia nexa",2557.35215102886,15464.899488884,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Iphimediidae","Iphimedia","Invertebrate - swimming predacious"
241,"Iphimedia perplexa","Iphimedia perplexa",1820.50901056818,15464.899488884,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Iphimediidae","Iphimedia","Invertebrate - swimming predacious"
242,"Jehlius cirratus nuplii","Jehlius cirratus",460,21.9089023002066,"Meroplankton","Invertebrate","Fuchs 2010","NA","NA","NA","NA","NA","NA","Invertebrate - Meroplankton"
243,"Karlodinium armiger","Karlodinium armiger",16.7,10.7,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Plankton - Dinoflagellates"
244,"Karlodinium armiger","Karlodinium armiger",14.9,9.8,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Plankton - Dinoflagellates"
245,"Karlodinium veneficum","Karlodinium veneficum",11,6.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Plankton - Dinoflagellates"
246,"Katodinium glaucum","Katodinium glaucum",21.5,10.9,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Tovelliales","Tovelliaceae","Katodinium","Plankton - Dinoflagellates"
247,"Kogia breviceps","Kogia breviceps",2292629.05787855,72499.2965278222,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","Mammals - Fish"
248,"Labidocera aestiva","Labidocera aestiva",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Invertebrate - swimming predacious"
249,"Labidocera wollastoni","Labidocera wollastoni",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Invertebrate - swimming predacious"
250,"Lagenorhynchus obliquidens","Lagenorhynchus obliquidens",912712.06736076,57588.2382296972,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Mammals - Fish"
251,"Lampanyctus crocodilus","Lampanyctus crocodilus",1264.55707802187,86.8954647211419,"planktivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Lampanyctus","Fish - planktivorous"
